car,price,body,mileage,engV,engType,registration,year,model,drive,local da compra,regioes,Latitude,Longitude,data da compra,Ano de compra
Daewoo,4000.0,hatch,125,1.5,Petrol,yes,2007,Lanos,front,KS,Desconhecido,38.5266,-96.726486,2023-06-09 11:34:16,2023
Lexus,12500.0,vagon,127,3.0,Gas,yes,2002,RX 300,full,CO,Oeste,39.059811,-105.311104,2023-03-28 08:39:25,2023
Toyota,6950.0,sedan,192,2.0,Petrol,yes,2003,Avensis,front,WV,Sul,38.491226,-80.954522,2023-11-22 20:22:06,2023
Peugeot,6900.0,van,247,1.6,Diesel,yes,2007,Expert ïàññ.,front,TX,Sul,31.054487,-97.563461,2023-05-27 06:29:01,2023
Chery,4100.0,sedan,21,1.3,Petrol,yes,2009,Jaggi,front,AR,Sul,34.969704,-92.373123,2023-04-19 23:45:18,2023
Skoda,7300.0,sedan,263,1.8,Gas,yes,2004,Superb,front,NC,Sul,35.630066,-79.806419,2023-05-19 07:31:13,2023
Daewoo,4300.0,sedan,23,8.0,Petrol,yes,2012,Matiz,front,ID,Oeste,44.299782,-114.74204,2023-02-08 10:58:43,2023
Volkswagen,4800.0,hatch,90,1.9,Diesel,yes,1992,Golf III,front,CA,Oeste,36.116203,-119.681564,2023-04-12 14:33:55,2023
Opel,5650.0,sedan,285,1.6,Petrol,yes,2001,Astra G,front,WY,Oeste,42.755966,-107.30249,2023-01-28 01:08:59,2023
Toyota,21800.0,crossover,170,4.0,Gas,yes,2006,Land Cruiser Prado,full,IL,Leste,40.298904,-87.43114,2023-08-05 08:21:36,2023
Toyota,23500.0,sedan,75,2.5,Gas,yes,2011,Camry,front,SD,Norte,44.299782,-99.438828,2023-04-24 16:06:48,2023
GAZ,15000.0,sedan,40,2.5,Petrol,yes,1963,21,rear,CT,Norte,41.597782,-72.755371,2023-01-24 15:58:26,2023
Mercedes-Benz,29999.0,hatch,9,,Other,yes,2015,B-Class Electric Drive,front,MI,Norte,42.874721,-86.251989,2023-03-01 19:35:15,2023
Toyota,13500.0,crossover,126,4.0,Petrol,no,2011,Land Cruiser Prado,full,MT,Norte,46.116203,-112.869665,2023-03-10 06:04:04,2023
Mercedes-Benz,30500.0,crossover,150,5.5,Petrol,yes,2002,G 500,full,NH,Norte,43.452492,-71.563896,2023-12-15 06:20:33,2023
Mercedes-Benz,0.0,crossover,0,3.0,Diesel,yes,2016,GLS 350,full,MD,Sul,39.063946,-76.802101,2023-04-22 22:10:47,2023
Mazda,5900.0,sedan,158,1.6,Petrol,yes,2004,3,front,MD,Sul,39.063946,-76.802101,2023-05-01 18:58:59,2023
BMW,14000.0,crossover,164,3.0,Diesel,no,2006,X5,full,OH,Leste,40.388783,-82.764915,2023-11-15 14:59:35,2023
MINI,30381.0,hatch,0,1.5,Petrol,yes,2016,Cooper,front,ND,Norte,47.528912,-99.784012,2023-01-10 17:19:02,2023
Audi,1400.0,sedan,250,1.8,Petrol,no,1993,80,front,NY,Leste,40.298904,-74.521011,2023-11-29 21:56:01,2023
BMW,67431.0,crossover,0,2.0,Diesel,yes,2016,X5,full,CO,Oeste,39.059811,-105.311104,2023-09-30 14:30:15,2023
Daewoo,2600.0,other,140,0.8,Petrol,yes,2002,Matiz,front,WV,Sul,38.491226,-80.954522,2023-08-16 22:52:55,2023
BMW,70000.0,sedan,16,3.0,Diesel,yes,2014,730,full,MA,Norte,42.230171,-71.530106,2023-01-31 21:35:42,2023
Mitsubishi,10200.0,crossover,269,3.2,Diesel,yes,2002,Pajero Wagon,full,VT,Norte,44.045876,-72.710686,2023-02-21 19:36:50,2023
Acura,8699.0,sedan,144,3.2,Gas,yes,2005,TL,front,AR,Sul,34.969704,-92.373123,2023-05-06 11:55:06,2023
Renault,7900.0,vagon,91,1.5,Diesel,yes,2008,Scenic,front,CT,Norte,41.597782,-72.755371,2023-03-24 15:02:01,2023
Renault,3300.0,van,345,1.9,Diesel,yes,2001,Kangoo ãðóç.,front,WI,Norte,43.351915,-88.825217,2023-08-10 16:13:16,2023
Nissan,13500.0,crossover,88,2.0,Petrol,yes,2007,Qashqai,front,OK,Sul,36.820746,-95.929594,2023-04-03 14:23:38,2023
Infiniti,19900.0,other,25,3.7,Petrol,yes,2015,FX 37,,NY,Leste,40.298904,-74.521011,2023-08-12 18:23:36,2023
Renault,5800.0,van,217,2.0,Gas,yes,2003,Scenic,front,KY,Sul,37.66814,-84.670067,2023-10-18 09:33:29,2023
Lexus,18500.0,sedan,102,3.0,Petrol,yes,2008,IS 300,rear,WY,Oeste,42.755966,-107.30249,2023-06-15 22:18:31,2023
Mazda,11600.0,crossover,112,2.3,Petrol,yes,2008,CX-7,full,OH,Leste,40.388783,-82.764915,2023-06-24 14:55:50,2023
Toyota,15500.0,crossover,120,2.0,Petrol,yes,2008,Rav 4,full,WA,Oeste,47.731157,-120.805472,2023-07-14 08:19:56,2023
Kia,11000.0,hatch,55,1.6,Petrol,yes,2010,Soul,front,NH,Norte,43.452492,-71.563896,2023-07-13 08:45:07,2023
VAZ,650.0,sedan,10,1.3,Petrol,yes,1982,2111,rear,MT,Norte,46.116203,-112.869665,2023-02-15 00:03:52,2023
Hyundai,2300.0,sedan,230,1.5,Petrol,yes,1994,Pony,front,TX,Sul,31.054487,-97.563461,2023-12-17 06:25:22,2023
VAZ,2200.0,sedan,125,1.3,Gas,yes,1977,2101,rear,TN,Sul,35.747845,-86.692345,2023-07-23 01:51:00,2023
Volkswagen,9999.0,sedan,182,1.6,Petrol,yes,2006,Jetta,front,VT,Norte,44.045876,-72.710686,2023-01-23 01:42:07,2023
Mercedes-Benz,7900.0,other,197,2.2,Diesel,yes,2003,Vito ïàññ.,,MN,Norte,44.299782,-93.774173,2023-07-02 11:57:59,2023
Mercedes-Benz,4500.0,other,525,2.3,Diesel,yes,1995,Sprinter 208 ïàññ.,rear,NC,Sul,35.630066,-79.806419,2023-01-17 04:20:26,2023
Volkswagen,11800.0,van,230,1.9,Diesel,yes,2009,T5 (Transporter) ïàññ.,front,WY,Oeste,42.755966,-107.30249,2023-12-30 13:57:47,2023
VAZ,2700.0,crossover,96,1.6,Petrol,yes,1980,2121,full,LA,Sul,31.169546,-91.867805,2023-12-25 18:50:38,2023
Renault,8000.0,hatch,50,1.6,Petrol,yes,2012,Sandero,front,LA,Sul,31.169546,-91.867805,2023-07-14 13:48:44,2023
Infiniti,36500.0,crossover,112,3.0,Diesel,yes,2012,FX 30,rear,WI,Norte,43.351915,-88.825217,2023-11-24 06:20:32,2023
VAZ,1599.0,hatch,122,1.5,Other,yes,1992,2109,front,FL,Sul,27.766279,-81.686783,2023-05-06 01:18:21,2023
Audi,12800.0,sedan,217,1.8,Petrol,yes,2007,A4,front,MA,Norte,42.230171,-71.530106,2023-08-10 11:31:35,2023
BMW,6899.0,vagon,320,2.8,Gas,yes,1997,528,rear,TX,Sul,31.054487,-97.563461,2023-09-26 07:19:57,2023
Nissan,4750.0,other,171,1.5,Diesel,yes,2004,Kubistar,front,AL,Sul,32.806671,-86.79113,2023-10-11 22:40:53,2023
Hyundai,8800.0,hatch,141,1.6,Diesel,yes,2009,i30,front,GA,Sul,33.040619,-83.643074,2023-09-26 07:54:10,2023
Toyota,15700.0,sedan,125,3.5,Petrol,yes,2008,Camry,front,MD,Sul,39.063946,-76.802101,2023-07-05 19:24:19,2023
Mitsubishi,9300.0,crossover,156,2.4,Gas,yes,2006,Outlander,full,CA,Oeste,36.116203,-119.681564,2023-09-18 07:19:42,2023
Audi,2000.0,sedan,360,1.6,Other,no,1996,A4,,AR,Sul,34.969704,-92.373123,2023-12-13 01:43:06,2023
Renault,6300.0,sedan,167,1.6,Petrol,yes,2005,Megane,front,MN,Norte,44.299782,-93.774173,2023-08-28 05:37:15,2023
Mercedes-Benz,15400.0,sedan,260,2.2,Diesel,yes,2008,E-Class,rear,FL,Sul,27.766279,-81.686783,2023-05-25 20:58:32,2023
Land Rover,26500.0,crossover,53,2.2,Diesel,yes,2012,Freelander,full,CO,Oeste,39.059811,-105.311104,2023-02-02 20:59:03,2023
Mazda,7999.0,hatch,220,1.6,Gas,yes,2004,3,front,MI,Norte,42.874721,-86.251989,2023-11-28 08:47:39,2023
Mitsubishi,17000.0,crossover,215,3.8,Petrol,yes,2006,Pajero Wagon,full,CA,Oeste,36.116203,-119.681564,2023-04-28 00:18:58,2023
Opel,17555.0,vagon,191,,Diesel,yes,2009,Insignia,front,MN,Norte,44.299782,-93.774173,2023-10-29 12:38:54,2023
ZAZ,1300.0,other,200,1.2,Petrol,yes,2002,110557,front,MI,Norte,42.874721,-86.251989,2023-10-28 08:16:21,2023
Opel,10800.0,van,164,2.0,Diesel,yes,2011,Vivaro ãðóç.,front,FL,Sul,27.766279,-81.686783,2023-12-11 07:28:46,2023
VAZ,3900.0,crossover,126,1.7,Gas,yes,2003,2123,full,MA,Norte,42.230171,-71.530106,2023-05-14 15:29:42,2023
VAZ,3000.0,sedan,200,1.6,Petrol,yes,2007,21099,,LA,Sul,31.169546,-91.867805,2023-10-21 09:08:53,2023
Toyota,14250.0,van,127,3.5,Other,yes,2007,Sienna,full,NC,Sul,35.630066,-79.806419,2023-07-24 06:41:46,2023
Audi,4200.0,sedan,236,2.5,Diesel,no,2003,A6,full,TX,Sul,31.054487,-97.563461,2023-06-08 03:29:08,2023
Volkswagen,1550.0,sedan,161,1.8,Petrol,no,1994,Vento,front,NY,Leste,40.298904,-74.521011,2023-10-11 11:32:51,2023
Renault,10396.23,vagon,1,1.2,Petrol,yes,2015,Logan,front,MS,Sul,32.321384,-89.251388,2023-12-13 09:49:43,2023
Fiat,8500.0,van,150,1.6,Diesel,yes,2008,Scudo ïàññ.,front,FL,Sul,27.766279,-81.686783,2023-11-22 09:21:30,2023
Audi,0.0,sedan,177,1.8,Petrol,yes,1998,A4,,SC,Sul,33.856892,-80.945007,2023-01-21 23:12:44,2023
Volkswagen,6999.0,sedan,248,1.8,Petrol,yes,2002,Passat B5,front,TN,Sul,35.747845,-86.692345,2023-10-18 23:12:24,2023
Honda,16300.0,crossover,80,2.0,Petrol,yes,2009,CR-V,full,WV,Sul,38.491226,-80.954522,2023-04-07 16:57:44,2023
Ford,15500.0,hatch,27,,Other,yes,2012,Focus Electric,front,IL,Leste,40.298904,-87.43114,2023-03-12 19:14:44,2023
Volkswagen,11300.0,van,250,2.5,Diesel,yes,2007,T5 (Transporter) ïàññ.,front,WV,Sul,38.491226,-80.954522,2023-06-09 04:58:53,2023
Ford,3100.0,other,350,2.5,Diesel,yes,1998,Transit ïàññ.,rear,CA,Oeste,36.116203,-119.681564,2023-04-09 22:03:13,2023
Smart,6400.0,other,120,,Diesel,yes,2008,Fortwo,rear,WI,Norte,43.351915,-88.825217,2023-10-26 12:57:17,2023
Audi,68000.0,crossover,20,3.0,Petrol,yes,2014,Q5,full,WI,Norte,43.351915,-88.825217,2023-08-06 01:49:38,2023
Lexus,17800.0,other,73,,Petrol,yes,2007,GS 350,full,RI,Norte,41.680893,-71.51178,2023-04-21 11:40:37,2023
Ford,9950.0,hatch,78,,Petrol,yes,2012,Fiesta,front,MT,Norte,46.116203,-112.869665,2023-03-09 16:42:47,2023
Ford,8900.0,hatch,85,1.25,Petrol,yes,2013,Fiesta,front,NH,Norte,43.452492,-71.563896,2023-06-25 12:55:14,2023
Fiat,5400.0,van,300,1.25,Petrol,yes,2002,Doblo ãðóç.,front,SD,Norte,44.299782,-99.438828,2023-03-10 16:38:26,2023
Mercedes-Benz,29500.0,sedan,134,5.0,Petrol,yes,2008,S 500,full,SD,Norte,44.299782,-99.438828,2023-11-24 04:43:43,2023
VAZ,4100.0,sedan,96,1.6,Petrol,yes,2006,2110,front,CT,Norte,41.597782,-72.755371,2023-10-04 19:40:28,2023
BMW,48550.0,other,147,4.0,Diesel,yes,2012,X5,full,IN,Leste,36.278726,-86.302264,2023-05-30 21:41:41,2023
Mercedes-Benz,8950.0,sedan,154,3.5,Gas,no,2005,CLS 350,rear,ME,Norte,44.693947,-69.381927,2023-10-10 00:01:07,2023
Mercury,10000.0,sedan,237,4.6,Gas,yes,2000,Grand Marquis,rear,ME,Norte,44.693947,-69.381927,2023-08-02 17:35:46,2023
Volkswagen,8500.0,van,210,2.5,Diesel,yes,2003,T4 (Transporter) ïàññ.,front,LA,Sul,31.169546,-91.867805,2023-06-23 04:13:03,2023
Jaguar,7500.0,sedan,290,3.0,Petrol,yes,2002,S-Type,rear,AK,Oeste,61.370716,-149.493686,2023-03-14 08:00:55,2023
Opel,9500.0,sedan,167,2.2,Petrol,yes,2008,Vectra C,front,AK,Oeste,61.370716,-149.493686,2023-09-09 19:55:47,2023
Audi,23900.0,sedan,180,3.0,Diesel,yes,2009,A6,full,NH,Norte,43.452492,-71.563896,2023-08-13 20:38:50,2023
Hyundai,6200.0,sedan,92,1.4,Petrol,yes,2007,Accent,front,AR,Sul,34.969704,-92.373123,2023-02-25 00:55:45,2023
Volkswagen,11500.0,van,70,2.0,Diesel,yes,2013,Caddy ãðóç.,front,NM,Oeste,34.423698,-106.445356,2023-03-03 13:58:44,2023
Audi,3000.0,sedan,278,2.5,Diesel,no,1999,A6,front,NE,Desconhecido,41.12537,-98.268082,2023-10-14 20:49:54,2023
Ford,8300.0,other,173,2.2,Diesel,yes,2007,Transit ïàññ.,front,NJ,Leste,40.298904,-74.521011,2023-01-02 05:37:21,2023
Toyota,1100.0,van,140,2.0,Gas,yes,1985,Lite Ace,rear,DE,Sul,38.665721,-75.755137,2023-03-27 07:14:26,2023
Audi,8100.0,vagon,302,2.5,Diesel,yes,2000,A6,front,WV,Sul,38.491226,-80.954522,2023-08-30 03:24:35,2023
Audi,33500.0,crossover,67,2.0,Petrol,yes,2011,Q5,full,OH,Leste,40.388783,-82.764915,2023-05-03 10:09:30,2023
Toyota,23600.0,sedan,105,2.5,Gas,yes,2012,Camry,front,NH,Norte,43.452492,-71.563896,2023-01-24 22:33:17,2023
Skoda,12200.0,vagon,137,1.6,Other,yes,2010,Octavia A5,,KS,Desconhecido,38.5266,-96.726486,2023-11-18 07:54:33,2023
Mitsubishi,4750.0,sedan,167,1.6,Petrol,yes,2003,Carisma,front,MA,Norte,42.230171,-71.530106,2023-05-18 15:32:03,2023
BMW,2300.0,sedan,189,1.8,Petrol,no,2002,318,rear,OK,Sul,36.820746,-95.929594,2023-10-13 21:35:11,2023
VAZ,1300.0,sedan,11,1.5,Petrol,yes,1987,2105,rear,ID,Oeste,44.299782,-114.74204,2023-01-16 01:52:58,2023
Audi,28500.0,crossover,74,2.0,Petrol,yes,2010,Q5,full,KS,Desconhecido,38.5266,-96.726486,2023-07-14 15:39:25,2023
Mitsubishi,15000.0,crossover,95,2.5,Diesel,yes,2008,Pajero Sport,full,SC,Sul,33.856892,-80.945007,2023-10-14 14:38:19,2023
Volkswagen,6300.0,vagon,132,2.8,Gas,yes,1995,Passat B4,front,SC,Sul,33.856892,-80.945007,2023-08-27 03:21:17,2023
Mercedes-Benz,12999.0,sedan,247,4.0,Diesel,yes,2003,S 400,rear,MT,Norte,46.116203,-112.869665,2023-08-23 15:47:17,2023
Daewoo,4499.0,sedan,101,1.5,Petrol,yes,2010,Nexia,front,AZ,Oeste,33.729759,-111.431221,2023-01-09 16:41:57,2023
Mitsubishi,12999.0,crossover,84,2.4,Petrol,yes,2009,Outlander XL,full,NJ,Leste,40.298904,-74.521011,2023-11-21 00:46:57,2023
Mazda,12500.0,crossover,92,2.3,Petrol,yes,2008,CX-7,full,NY,Leste,40.298904,-74.521011,2023-02-23 21:13:13,2023
VAZ,1800.0,sedan,100,1.5,Petrol,yes,2006,2107,rear,IL,Leste,40.298904,-87.43114,2023-02-19 08:54:24,2023
VAZ,2650.0,sedan,230,1.5,Gas,yes,2005,21099,front,CT,Norte,41.597782,-72.755371,2023-11-30 11:58:06,2023
Mercedes-Benz,14200.0,sedan,245,2.2,Diesel,yes,2007,E-Class,rear,GA,Sul,33.040619,-83.643074,2023-03-26 11:11:56,2023
Chevrolet,5999.0,hatch,60,1.5,Petrol,yes,2009,Aveo,front,RI,Norte,41.680893,-71.51178,2023-06-14 18:26:38,2023
Kia,12000.0,crossover,117,2.5,Diesel,yes,2008,Sorento,full,IA,Norte,42.019842,-93.210526,2023-04-16 12:21:09,2023
Nissan,25198.446,crossover,0,2.0,Petrol,yes,2016,Qashqai,front,ID,Oeste,44.299782,-114.74204,2023-01-08 22:20:40,2023
Audi,3800.0,sedan,253,2.5,Diesel,no,1998,A6,front,NC,Sul,35.630066,-79.806419,2023-05-11 20:50:35,2023
Honda,16000.0,sedan,46,1.8,Petrol,yes,2012,Civic,front,MI,Norte,42.874721,-86.251989,2023-10-12 18:07:11,2023
VAZ,2550.0,sedan,200,1.5,Gas,yes,2006,21099,front,CO,Oeste,39.059811,-105.311104,2023-03-27 22:42:27,2023
Audi,27300.0,other,150,4.2,Petrol,yes,2007,Q7,full,MA,Norte,42.230171,-71.530106,2023-05-17 09:27:42,2023
Nissan,3100.0,sedan,283,2.0,Gas,yes,1996,Primera,front,OH,Leste,40.388783,-82.764915,2023-11-22 20:39:21,2023
Nissan,7500.0,sedan,181,1.8,Petrol,yes,2007,Primera,front,IA,Norte,42.019842,-93.210526,2023-06-29 12:37:19,2023
Audi,0.0,sedan,370,2.6,Other,yes,1997,A6,front,CA,Oeste,36.116203,-119.681564,2023-08-27 15:14:29,2023
BMW,20500.0,crossover,285,4.8,Petrol,yes,2006,X5,full,VA,Sul,38.003385,-79.458786,2023-06-06 19:24:05,2023
Volkswagen,4500.0,vagon,390,1.9,Diesel,yes,1996,Passat B4,,WV,Sul,38.491226,-80.954522,2023-05-12 06:25:21,2023
Hyundai,15500.0,sedan,125,2.0,Petrol,yes,2012,Sonata,front,NE,Desconhecido,41.12537,-98.268082,2023-11-19 17:23:05,2023
BMW,5000.0,other,75,1.9,Petrol,no,1998,Z3,rear,MD,Sul,39.063946,-76.802101,2023-09-02 02:25:31,2023
Ford,5100.0,other,90,3.0,Petrol,yes,2000,Ranger,full,IL,Leste,40.298904,-87.43114,2023-05-10 06:26:31,2023
Toyota,2200.0,vagon,300,2.0,Petrol,yes,1989,Camry,front,HI,Oeste,21.094318,-157.498337,2023-09-19 14:55:53,2023
Lexus,17900.0,sedan,125,3.5,Gas,yes,2007,ES 350,front,MI,Norte,42.874721,-86.251989,2023-05-08 18:29:03,2023
Volkswagen,6800.0,sedan,178,,Gas,yes,2004,Passat B5,front,PA,Leste,40.590752,-77.209755,2023-08-07 12:30:04,2023
Hyundai,10700.0,other,74,2.0,Gas,yes,2008,Coupe,front,IN,Leste,36.278726,-86.302264,2023-08-09 18:47:34,2023
Suzuki,9800.0,hatch,123,1.6,Petrol,yes,2008,SX4,front,NY,Leste,40.298904,-74.521011,2023-04-21 20:57:42,2023
Toyota,10800.0,sedan,179,3.0,Gas,yes,2005,Camry,front,OH,Leste,40.388783,-82.764915,2023-09-30 03:42:18,2023
Audi,13000.0,other,161,1.8,Gas,yes,2001,TT,front,TN,Sul,35.747845,-86.692345,2023-01-16 20:18:43,2023
Audi,3390.0,sedan,289,2.5,Diesel,no,2002,A6,front,HI,Oeste,21.094318,-157.498337,2023-08-20 20:19:16,2023
VAZ,3100.0,sedan,220,1.5,Gas,yes,2005,2115,front,CA,Oeste,36.116203,-119.681564,2023-02-11 12:55:52,2023
Renault,8300.0,hatch,168,1.6,Petrol,yes,2009,Laguna,front,MI,Norte,42.874721,-86.251989,2023-04-30 09:15:44,2023
Subaru,17500.0,crossover,80,,Other,yes,2008,Tribeca,full,WA,Oeste,47.731157,-120.805472,2023-05-28 12:14:07,2023
VAZ,1100.0,sedan,1,1.6,Petrol,yes,1977,2101,rear,VA,Sul,38.003385,-79.458786,2023-01-20 02:13:06,2023
VAZ,1100.0,sedan,32,1.3,Gas,yes,1980,2103,rear,IN,Leste,36.278726,-86.302264,2023-07-24 00:23:27,2023
Volkswagen,6900.0,sedan,300,1.8,Petrol,yes,1998,Passat B5,front,NC,Sul,35.630066,-79.806419,2023-09-12 04:34:27,2023
Nissan,7000.0,sedan,160,1.6,Petrol,yes,2007,Almera,front,IA,Norte,42.019842,-93.210526,2023-08-17 09:27:35,2023
Hyundai,23800.0,crossover,115,2.2,Diesel,yes,2011,Santa FE,full,WI,Norte,43.351915,-88.825217,2023-08-02 04:12:12,2023
Renault,8300.0,van,127,1.5,Diesel,yes,2011,Kangoo ïàññ.,front,AK,Oeste,61.370716,-149.493686,2023-12-16 08:41:36,2023
Porsche,17000.0,crossover,155,3.2,Gas,yes,2004,Cayenne,full,SC,Sul,33.856892,-80.945007,2023-08-14 16:15:48,2023
Opel,2800.0,sedan,1,2.0,Gas,yes,1988,Omega,rear,TX,Sul,31.054487,-97.563461,2023-01-18 06:47:44,2023
Audi,11900.0,sedan,131,2.0,Petrol,yes,2007,A4,front,NJ,Leste,40.298904,-74.521011,2023-05-30 19:51:28,2023
Volkswagen,3700.0,sedan,370,2.0,Gas,yes,1992,Passat B3,front,WA,Oeste,47.731157,-120.805472,2023-08-07 00:44:13,2023
Land Rover,6600.0,crossover,298,2.5,Diesel,yes,1997,Discovery,full,KY,Sul,37.66814,-84.670067,2023-01-25 15:35:05,2023
Mitsubishi,9500.0,crossover,140,2.4,Gas,yes,2007,Outlander,full,IA,Norte,42.019842,-93.210526,2023-01-22 15:07:38,2023
Mercedes-Benz,2000.0,sedan,320,2.2,Diesel,no,1998,E-Class,,NM,Oeste,34.423698,-106.445356,2023-11-24 02:06:12,2023
Ford,1750.0,van,350,2.5,Diesel,yes,1990,Transit ãðóç.,rear,RI,Norte,41.680893,-71.51178,2023-08-07 03:38:36,2023
Acura,11111.0,crossover,199,3.5,Petrol,yes,2005,MDX,full,NH,Norte,43.452492,-71.563896,2023-11-11 14:31:28,2023
Mitsubishi,40800.0,crossover,0,2.4,Diesel,yes,2016,Pajero Sport,full,WY,Oeste,42.755966,-107.30249,2023-05-14 19:57:57,2023
Ford,8700.0,hatch,78,1.4,Diesel,yes,2012,Fiesta,front,PA,Leste,40.590752,-77.209755,2023-06-30 20:39:59,2023
Mercedes-Benz,22000.0,other,53,3.0,Petrol,yes,2007,CLK 280,rear,MD,Sul,39.063946,-76.802101,2023-07-19 20:32:33,2023
Mercedes-Benz,5000.0,sedan,215,2.6,Gas,yes,1992,E-Class,rear,OR,Oeste,33.004106,-116.418468,2023-08-04 22:07:33,2023
Mitsubishi,5400.0,sedan,200,1.6,Gas,yes,2005,Lancer,front,DE,Sul,38.665721,-75.755137,2023-08-14 20:10:27,2023
BMW,4700.0,sedan,200,2.5,Petrol,yes,1995,525,rear,MN,Norte,44.299782,-93.774173,2023-06-28 04:27:47,2023
Volvo,10900.0,sedan,135,1.6,Petrol,yes,2009,S40,front,AK,Oeste,61.370716,-149.493686,2023-04-20 20:49:56,2023
Volkswagen,19500.0,sedan,82,1.8,Petrol,yes,2011,Passat B7,front,NV,Oeste,38.313515,-117.055374,2023-04-16 08:04:52,2023
Toyota,25555.0,crossover,128,4.7,Gas,yes,2004,Land Cruiser 100,full,CA,Oeste,36.116203,-119.681564,2023-12-08 02:08:13,2023
Renault,7450.0,hatch,68,1.2,Petrol,yes,2009,Modus,front,VA,Sul,38.003385,-79.458786,2023-02-27 18:33:41,2023
Opel,1750.0,sedan,247,1.6,Petrol,no,1996,Vectra B,front,MS,Sul,32.321384,-89.251388,2023-07-10 10:39:16,2023
Geely,8500.0,sedan,21,1.5,Gas,yes,2014,Emgrand 7 (EC7),front,UT,Oeste,40.150032,-111.862434,2023-08-19 19:05:11,2023
Mitsubishi,11800.0,sedan,1,1.5,Gas,yes,2010,Lancer X,,MN,Norte,44.299782,-93.774173,2023-02-02 06:53:36,2023
Volkswagen,22500.0,crossover,151,3.0,Diesel,yes,2009,Touareg,full,NM,Oeste,34.423698,-106.445356,2023-05-23 12:56:38,2023
Toyota,16800.0,crossover,238,4.0,Gas,yes,2004,Land Cruiser Prado,full,ND,Norte,47.528912,-99.784012,2023-04-30 13:33:18,2023
Mercedes-Benz,41000.0,van,55,3.0,Diesel,yes,2011,Viano ïàññ.,rear,IA,Norte,42.019842,-93.210526,2023-02-09 05:52:55,2023
Ford,1099.0,other,333,1.6,Petrol,yes,1987,Sierra,rear,IA,Norte,42.019842,-93.210526,2023-09-05 14:45:36,2023
Land Rover,81500.0,crossover,45,5.0,Petrol,yes,2013,Range Rover Sport,full,IL,Leste,40.298904,-87.43114,2023-03-04 18:50:03,2023
Mercedes-Benz,7500.0,sedan,319,3.2,Gas,yes,1997,S 320,rear,NE,Desconhecido,41.12537,-98.268082,2023-06-01 20:19:25,2023
Toyota,8800.0,crossover,388,4.2,Diesel,yes,1997,Land Cruiser 80,full,KS,Desconhecido,38.5266,-96.726486,2023-02-03 10:24:16,2023
Toyota,18800.0,vagon,89,1.8,Petrol,yes,2012,Avensis,front,CT,Norte,41.597782,-72.755371,2023-05-02 14:22:05,2023
Nissan,7600.0,hatch,88,1.2,Petrol,yes,2008,Micra,front,RI,Norte,41.680893,-71.51178,2023-02-21 06:32:51,2023
Mercedes-Benz,11000.0,crossover,148,3.2,Petrol,yes,2001,ML 320,full,NM,Oeste,34.423698,-106.445356,2023-10-18 06:37:20,2023
Fiat,9800.0,van,185,2.0,Diesel,yes,2009,Scudo ïàññ.,front,RI,Norte,41.680893,-71.51178,2023-11-14 16:06:23,2023
VAZ,1800.0,hatch,80,1.5,Gas,yes,1997,2109,front,PA,Leste,40.590752,-77.209755,2023-07-29 08:45:28,2023
Volkswagen,6500.0,sedan,74,2.0,Petrol,no,2011,Jetta,front,AZ,Oeste,33.729759,-111.431221,2023-01-27 17:39:34,2023
Nissan,15300.0,hatch,33,,Other,yes,2014,Leaf,front,AZ,Oeste,33.729759,-111.431221,2023-11-23 15:16:12,2023
Kia,5000.0,sedan,220,2.0,Petrol,yes,2002,Magentis,front,ND,Norte,47.528912,-99.784012,2023-08-01 08:51:25,2023
Renault,8800.0,van,250,1.9,Diesel,yes,2006,Trafic ïàññ.,front,IN,Leste,36.278726,-86.302264,2023-05-23 04:48:13,2023
Lexus,10800.0,sedan,183,3.3,Gas,yes,2003,ES 330,front,NY,Leste,40.298904,-74.521011,2023-10-05 04:14:06,2023
Renault,11900.0,van,143,2.0,Diesel,yes,2009,Trafic ïàññ.,front,OH,Leste,40.388783,-82.764915,2023-12-27 09:31:59,2023
Mitsubishi,11500.0,crossover,170,3.0,Gas,yes,2005,Pajero Sport,full,NM,Oeste,34.423698,-106.445356,2023-06-15 05:21:47,2023
Hyundai,8900.0,crossover,160,2.0,Diesel,yes,2006,Santa FE,full,CA,Oeste,36.116203,-119.681564,2023-09-16 18:53:36,2023
Daewoo,5700.0,sedan,178,1.6,Gas,yes,2003,Nubira,front,RI,Norte,41.680893,-71.51178,2023-01-04 16:34:47,2023
Renault,8250.0,van,66,1.5,Diesel,yes,2014,Kangoo ãðóç.,front,MI,Norte,42.874721,-86.251989,2023-06-04 00:26:34,2023
Peugeot,5900.0,hatch,190,,Gas,yes,2008,206,front,TN,Sul,35.747845,-86.692345,2023-12-09 03:01:25,2023
Volkswagen,2700.0,hatch,400,1.8,Gas,yes,1989,Golf II,front,WI,Norte,43.351915,-88.825217,2023-07-06 21:08:57,2023
Lexus,17000.0,sedan,157,3.0,Petrol,yes,2007,GS 300,rear,NC,Sul,35.630066,-79.806419,2023-11-17 11:15:34,2023
Mercedes-Benz,13200.0,other,196,2.2,Other,yes,2012,Sprinter 313 ãðóç.,,IA,Norte,42.019842,-93.210526,2023-09-03 20:59:28,2023
Mercedes-Benz,2900.0,other,248,2.0,Petrol,no,1999,CLK 200,rear,DE,Sul,38.665721,-75.755137,2023-11-21 05:48:42,2023
